scheme_name,scheme_link,state,category,description
Maternity Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/masgbocwwb,Gujarat,"Social welfare & Empowerment, Women and Child",The objective of this scheme is to provide financial assistance during pregnancy to women construction workers and construction workers' wives registered with the Gujarat Building and Other Construction Worker’s Welfare Board and to provide social stability to construction workers.
Vishist Coaching Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/vcsgbocwwb,Gujarat,Education & Learning,"The “Vishist Coaching Scheme” is implemented by Gujarat Building & Other Construction Worker’s Welfare Board, Labour, Govt. of Gujarat. Under this scheme, both the registration fee & coaching/tuition fees will be reimbursed/paid for the career development of the children of construction workers."
Labour Accident benefit Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/labs-glwb,Gujarat,Social welfare & Empowerment,"Under the scheme, financial assistance is provided to workers (Shramyogis) who become disabled during their duty period due to an accident or any other reason at the working premises of the establishment."
Go-Green Shramik Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/ggssgbocwwb,Gujarat,"Transport & Infrastructure, Social welfare & Empowerment","Under the scheme, a one-time subsidy will be provided on the purchase of electric two-wheelers to construction workers who are registered with the Gujarat Building and Other Construction Worker’s Welfare Board."
Shramik Annapurna Yojana (GBOCWWB),https://www.myscheme.gov.in/schemes/saygbocwwb,Gujarat,Social welfare & Empowerment,"Under the scheme, registered construction workers are entitled to receive nutritious meals at concessional rates at the workplace or on Kadianaka. This benefit extends to the registered worker's family members as well."
Go Green Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/ggs-glwb,Gujarat,Social welfare & Empowerment,The objective of the scheme is to encourage Labourers/Industrial Workers to purchase of battery operated electric two-wheelers that reduce carbon emissions.
Pre-SSC Scholarship for Scheduled Caste Students (Parixitlal Majmudar Scholarship),https://www.myscheme.gov.in/schemes/psscsscspms,Gujarat,Education & Learning,"Under this scheme, scholarships are provided to Scheduled Caste students who are studying in Class 1 to 10 in Government/Grant-in-Aid Schools/Private Schools."
Special Scholarship to SC Students in Selected Schools,https://www.myscheme.gov.in/schemes/ssscsss,Gujarat,Education & Learning,"The scheme provides financial assistance to SC students studying in famous private selected schools i.e. Doon School, Dehradun; Sofiya School, Abu; Mayo school, Ajmer; Sainik School, Balachadi; Mahila Sainik School, Kherva; Dist. Mehsana, etc. will be paid actual fees upto limit of ₹50,000/- p.a."
Dr. P. G. Solanki Scheme for Stipend to Scheduled Caste Lawyers,https://www.myscheme.gov.in/schemes/dpgsssscl,Gujarat,Skills & Employment,"Under the scheme, a monthly stipend is provided for three years to law graduates belonging to the scheduled caste category, as well as to the senior lawyer who trains such individuals. This support is extended due to their poor financial condition, aiming to prevent mid-practice dropout."
Manav Garima Yojana,https://www.myscheme.gov.in/schemes/mgy,Gujarat,Business & Entrepreneurship,The scheme offers financial assistance to Scheduled Caste individuals who wish to establish cottage industries for self-employment without requiring bank loans. Employment/tool kits are provided to those who seek self-employment opportunities.
Post-Matric Scholarships for Scheduled Castes Students- Gujarat,https://www.myscheme.gov.in/schemes/pmsscs-g,Gujarat,Education & Learning,"The objective of the scheme is to appreciably increase the Gross Enrolment Ratio of SC students in higher education with a focus on those from the poorest households, by providing financial assistance at post-matriculation or postsecondary stage to enable them to complete their education."
Fodder Minikits under Integrated Fodder Development Scheme (General Category),https://www.myscheme.gov.in/schemes/fmuifdsgc,Gujarat,"Agriculture,Rural & Environment","The scheme “Fodder Minikits under Integrated Fodder Development Scheme” is implemented by the Directorate of Animal Husbandry, Government of Gujarat to provide an improved variety of fodder seeds to beneficiaries for widespread publicity, demonstration, and adaptation by farmers."
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Service Sector)",https://www.myscheme.gov.in/schemes/agmsmecisss,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Vandan Matru Yojana,https://www.myscheme.gov.in/schemes/vmyg,Gujarat,"Health & Wellness, Women and Child",This scheme is a Gujarat government initiative providing financial assistance to pregnant and lactating women from economically weaker sections to promote maternal and child health.
PURNA Scheme,https://www.myscheme.gov.in/schemes/psg,Gujarat,"Health & Wellness, Women and Child, Education & Learning","The scheme aims to reduce malnutrition, anemia, and early marriage among adolescent girls in Gujarat by educating them on health, nutrition, life skills, and legal rights, while promoting self-empowerment through various activities."
Mahila Swavlamban Scheme,https://www.myscheme.gov.in/schemes/mssg,Gujarat,"Women and Child, Social welfare & Empowerment, Business & Entrepreneurship","The scheme provides financial assistance to women from rural and urban areas for undertaking economic activities, with support in the form of a subsidy and loans."
To Assist the Farmers for Construction of Community Base Water Tank/Storage Structure for Efficient Use of Water Through Drip Irrigation,https://www.myscheme.gov.in/schemes/afccdwt,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for constructing community-based water tanks/storage structures to ensure efficient water use through drip irrigation."
Coaching Help Scheme for JEE-GUJCET-NEET Exams,https://www.myscheme.gov.in/schemes/chsjgne,Gujarat,"Education & Learning, Social welfare & Empowerment","The ""Coaching Help Scheme for JEE-GUJCET-NEET Exams"" scheme provides financial assistance to non-reserved category students from the science stream who are getting coaching in institutions with three years or more experience."
Training Assistance for Competitive Examinations,https://www.myscheme.gov.in/schemes/tafce,Gujarat,"Education & Learning, Social welfare & Empowerment","The ""Training Assistance for Competitive Examinations"" scheme provides financial assistance to non-reserved category students who are undergoing training in recognized institutions for competitive recruitment examinations."
Scheme of Providing Assistance to Encourage Farmers for Adoption of Organic Farming,https://www.myscheme.gov.in/schemes/spafof,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to promote organic farming by providing financial assistance to farmers for certification, input subsidies, and residue testing."
Farm Storage Structure Scheme,https://www.myscheme.gov.in/schemes/fsss,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to help farmers to protect their harvested crops from damage due to natural calamities and store them safely for better financial returns by selling at optimal prices."
Personality Development and Yogasan Training Camp for Schedule Caste,https://www.myscheme.gov.in/schemes/pdytcsc,Gujarat,Sports & Culture,"The scheme ""Personality Development and Yogasan Training Camp for Schedule Caste Youth"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to promote the physical, mental, and spiritual development of Scheduled Caste youth through 7-day training camps."
Interest Subsidy Scheme on Education Loan,https://www.myscheme.gov.in/schemes/issoel,Gujarat,Education & Learning,"The scheme ""Interest Subsidy Scheme on Education Loan"" by the Education Department, Gujarat, aims to provide financial support to students by offering 100% interest subsidy on education loans."
Scheduled Caste Sub Plan (SCSP): Electrification of Wells of Scheduled Caste Farmers,https://www.myscheme.gov.in/schemes/scsp-ewscf,Gujarat,"Agriculture,Rural & Environment, Utility & Sanitation",The scheme aims to provide agricultural electricity connections on a priority basis to Scheduled Caste farmers. Benefits include electrification of wells and free domestic electricity connections for Scheduled Caste farmers and beneficiaries across Gujarat.
To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Seed Stocking - Gujarat,https://www.myscheme.gov.in/schemes/ifsptfssguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to provide financial assistance for fish seed stocking, including transportation costs, is provided to beneficiaries from Scheduled Tribes involved in inland fisheries."
Private Tuition Assistance to Socially and Educationally Backward Class Students Studying in Science Stream of Class 11 & 12,https://www.myscheme.gov.in/schemes/ptasebcssss,Gujarat,Education & Learning,"Under this scheme, a grant of ₹15,000 each for class 11 and class 12 to cover private tuition fees for eligible SEBC students pursuing science education in higher secondary classes."
Direct Finance Scheme by NSFDC (GSCDC),https://www.myscheme.gov.in/schemes/dfsbnsfdc,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship, Skills & Employment","Under this scheme, loans are offered at a low interest rate, ranging from 1% to 5%, specifically for self-employment to scheduled caste (SC) individuals."
Shree Nanaji Deshmukh Awas Yojana (GBOCWWB),https://www.myscheme.gov.in/schemes/sndaygbocwwb,Gujarat,Housing & Shelter,"In urban areas, where EWS/LIG houses have been allotted by Local Self-Government Organization/Urban Development Authority & Gujarat Housing Board under Chief Minister/Prime Minister Awas Yojana, the benefit of this scheme is given once per family to construction worker registered in the board."
National Family Benefit Scheme - Gujarat,https://www.myscheme.gov.in/schemes/nfbsguj,Gujarat,Social welfare & Empowerment,"The scheme aims to provide social security to Below Poverty Line (BPL) households. Under the scheme, a one-time lump sum assistance of ₹20,000 is provided to the widow or unmarried daughter of the deceased, if the primary breadwinner, aged between 18 and 59 years, passes away."
Zupda Vijlikaran Yojana,https://www.myscheme.gov.in/schemes/zvy,Gujarat,Utility & Sanitation,"Under this scheme, free household electricity connections are given to the BPL /Lower income group households across the state."
Shahidvir Kinariwaala Student Security Group Insurance Scheme,https://www.myscheme.gov.in/schemes/skssgis,Gujarat,"Banking,Financial Services and Insurance, Education & Learning","The scheme provides financial protection in case of accidental death or permanent disability to students or their guardians/heirs to help reduce the burden during unforeseen tragedies. The scheme covers students at Government and Non-Government Colleges, Gram Vidyapeeth GBTC colleges, etc."
Janta Juth Accidental Insurance Scheme,https://www.myscheme.gov.in/schemes/jjais,Gujarat,"Agriculture,Rural & Environment","""Janta Juth"" is a Farmer's Accidental Insurance Scheme by the Govt. of Gujarat to provide economic assistance of upto ₹ 2,00,000 to Farmers in case of Death or Disability. The objective is to assist the successor of the farmer in case of death or disability due to an accident."
Mamta Taruni Abhiyan,https://www.myscheme.gov.in/schemes/mta,Gujarat,"Health & Wellness, Women and Child","""Mamta Taruni Abhiyan"" was a program launched in Gujarat, India, aimed at providing healthcare facilities to adolescent girls and pregnant women in rural areas. The program was launched by the Gujarat state government in 2010."
Satyvadi Raja Harishchandra Marnotar Sahay Yojana,https://www.myscheme.gov.in/schemes/srhmsy,Gujarat,Social welfare & Empowerment,"The scheme was launched in the year 2000 to provide financial assistance to scheduled caste families at the time of the death of a family member to cover funeral expenses, due to their poor economic conditions."
Fishermen Accident Relief Scheme,https://www.myscheme.gov.in/schemes/fars,Gujarat,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","The ""Fishermen Accident Relief Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support the families of Gujarat's active fishermen by offering monetary compensation in case of accidental fatalities."
Group Accident Insurance Scheme under PMMSY: Permanent Partial Disability Gujarat,https://www.myscheme.gov.in/schemes/gaisguj2,Gujarat,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","The scheme aims to provide financial assistance to fishermen/fishermen's families in case of death or injury. Through this scheme, insurance coverage for Permanent Partial Disability is provided to eligible fishers."
Group Accident Insurance Scheme under PMMSY: Medical Treatment - Gujarat,https://www.myscheme.gov.in/schemes/gaisguj3,Gujarat,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","The scheme aims to provide financial assistance to fishermen/fishermen's families in case of death or injury. Through this scheme, insurance coverage for Medical Treatment is provided to eligible fishers."
Sardar Krushi Jyoti Yojana,https://www.myscheme.gov.in/schemes/skjy,Gujarat,"Utility & Sanitation, Agriculture,Rural & Environment","The scheme improves power supply for farmers by replacing old wires and equipment and upgrading agricultural feeders for uninterrupted service, which is crucial for irrigation."
Accidental Death Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/adasgbocwwb,Gujarat,Social welfare & Empowerment,"Assistance shall be provided to the legal heirs of deceased construction workers, whether registered or unregistered with the Board, in the event of accidental death or permanent disability occurring during ongoing work at the construction site."
Education Assistance/Ph.D Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/eaphdsgbocwwb,Gujarat,Education & Learning,"Under this scheme, financial assistance is provided once a year to any two children of a construction worker for the career development of bright and needy construction worker students seeking admission in the higher education courses of the state."
Dhanvantari Arogya Rath Yojana (GBOCWWB),https://www.myscheme.gov.in/schemes/darygbocwwb,Gujarat,Health & Wellness,"The scheme has been implemented to ensure that construction workers and their families get primary medical treatment at their doorsteps, prevent serious diseases and maintain their health at places including construction sites, labour colonies and Kadianaka."
Accidental Death Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/adas-glwb,Gujarat,Social welfare & Empowerment,"Under the scheme, financial assistance is provided to the family members of workers (Shramyogis) in the event of their death due to an accident during their course of employment. This assistance aims to help the worker's family cope with the sudden calamity."
Kunwar Bai Nu Mameru Yojana,https://www.myscheme.gov.in/schemes/kbnmy,Gujarat,Social welfare & Empowerment,"The scheme was initiated in 1991. Under the scheme, financial assistance is provided on the occasion of the marriage of two adult girls belonging to the Scheduled Caste category."
Kaidi Sahay Yojana,https://www.myscheme.gov.in/schemes/ksygsw,Gujarat,Social welfare & Empowerment,"The ""Kaidi Sahay Yojana"" by the Social Justice and Empowerment Department, Gujarat, provides financial assistance of ₹25,000/- to the family of a prisoner who is the sole or main earner, to support them through self-employment."
Pandit Dindayal Upadhyay Awas Yojana (Developing Caste Welfare) (NT-DNT),https://www.myscheme.gov.in/schemes/pduayntdnt,Gujarat,Housing & Shelter,"The ""Pandit Dindayal Upadhyay Awas Yojana (Developing Caste Welfare) (NT-DNT)"" provides financial assistance of up to ₹1,20,000/- to the people belonging to Nomadic Tribes and Denotified Tribes."
Mukhyamantri Amrutum Yojana,https://www.myscheme.gov.in/schemes/ma,Gujarat,Health & Wellness,"The Mukhyamantri Amrutum Yojana, is a health insurance scheme launched by the Government of Gujarat on 4th September 2012. It was initially launched only to cater to people who fall under the lowest income groups of the state i.e. Below Poverty Line (BPL)."
Kushal Shramik Sahay Yojana (GBOCWWB),https://www.myscheme.gov.in/schemes/kssugbocwwb,Gujarat,Skills & Employment,"Under the scheme, assistance shall be provided to registered construction workers and their children for career development. By advancing in skill education, the children of construction workers can also progress and avail employment opportunities."
Funeral Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/fasgbocwwb,Gujarat,Social welfare & Empowerment,The objective of this scheme is to provide financial assistance to the heir of a deceased construction worker registered with the Gujarat Building and Other Construction Worker’s Welfare Board in case of death during the ongoing membership.
Farmers Accidental Insurance Scheme,https://www.myscheme.gov.in/schemes/fais,Gujarat,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to the families of registered farmers in the event of accidental death or disability."
Goat Rearing Scheme,https://www.myscheme.gov.in/schemes/grsguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to increase the income and raise the living standards of tribal women beneficiaries. Through this scheme, financial assistance is provided for setting up goat units."
Antyeshthi Sahay Yojana,https://www.myscheme.gov.in/schemes/asygsw,Gujarat,Social welfare & Empowerment,"The scheme aims to support the families of deceased senior citizens who were beneficiaries of old-age assistance. Upon the death of such a senior citizen, a one-time financial aid is provided to the legal heir to help cover funeral and related expenses."
Palak Mata-Pita Yojana,https://www.myscheme.gov.in/schemes/pmpy,Gujarat,Social welfare & Empowerment,"The ""Palak Mata-Pita Yojana"" introduced on 29th August, 2009 by the Social Justice and Empowerment Department, Gujarat, provides a monthly assistance of ₹3000 to foster parents raising orphaned children or children whose mother has remarried after the father's death."
Vahli Dikri Yojana,https://www.myscheme.gov.in/schemes/vdy,Gujarat,"Education & Learning, Social welfare & Empowerment","The Vahli Dikri Yojana by the Government of Gujarat under the Women and Child Development Department . The scheme supports girl children by providing financial aid, free education, and insurance, encouraging higher education and reducing dropout rates."
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)",https://www.myscheme.gov.in/schemes/atesgephmgchrt2,Gujarat,"Agriculture,Rural & Environment","Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment."
Harvesting Tools Assistance for General Category (HRT-2),https://www.myscheme.gov.in/schemes/htagchrt-2,Gujarat,"Agriculture,Rural & Environment","Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools."
Scheme for assistance for Research & Development Activities: Assistance to Establish Research & Development/Product Development Centre,https://www.myscheme.gov.in/schemes/sarderd,Gujarat,"Business & Entrepreneurship, Science, IT & Communications","The ""Scheme for Assistance for Research & Development Activities"" under the Gujarat Industrial Policy promotes innovation by encouraging R&D among companies and institutions, fostering technological advancements to drive ""Atmanirbhar Gujarat."""
Scheme for Assistance for Research & Development Activities: Assistance to R&D Institutions/ Laboratories set up by the State Government or by Government of India,https://www.myscheme.gov.in/schemes/sardardl,Gujarat,"Business & Entrepreneurship, Science, IT & Communications","The ""Scheme for Assistance for Research & Development Activities"" under the Gujarat Industrial Policy promotes innovation by encouraging R&D among companies and institutions, fostering technological advancements to drive ""Atmanirbhar Gujarat."""
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Patent Registration,https://www.myscheme.gov.in/schemes/agmsmeasp,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of SGST Paid on Capital Goods,https://www.myscheme.gov.in/schemes/agsmscg,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries"" aims to strengthen the overall industrial ecosystem in the State and also enable a larger set of manufacturing companies to emulate the adoption of clean energy and make them future-ready to compete in global markets."
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Financial Support to MSMEs in ZED Certification,https://www.myscheme.gov.in/schemes/agmsmezed,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Net SGST Reimbursement,https://www.myscheme.gov.in/schemes/agslitsngr,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector""  aims to provide incentives to attract increased investments in the manufacturing sector to create more employment opportunities in Gujarat."
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: EPF Reimbursement,https://www.myscheme.gov.in/schemes/agsmepf,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries"" aims to strengthen the overall industrial ecosystem in the State and also enable a larger set of manufacturing companies to emulate the adoption of clean energy and make them future-ready to compete in global markets."
Scheme for Enhancement of Technical Competence and Manpower: Skill Up-gradation Centers (SUCs),https://www.myscheme.gov.in/schemes/setcmsuc,Gujarat,Skills & Employment,"The ""Scheme for Enhancement of Technical Competence and Manpower"" under the Gujarat Industrial Policy aims to bridge the industry’s skill gap, boost employment, and align workforce training with evolving technology and business needs."
Scheme for Enhancement of Technical Competence and Manpower: Scheme of Financial Assistance for Skill Development to MSME Sector,https://www.myscheme.gov.in/schemes/setcmamsme,Gujarat,"Business & Entrepreneurship, Skills & Employment","The ""Scheme for Enhancement of Technical Competence and Manpower"" under the Gujarat Industrial Policy aims to bridge the industry’s skill gap, boost employment, and align workforce training with evolving technology and business needs."
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance in Rent to MSEs,https://www.myscheme.gov.in/schemes/bauuyarmse,Gujarat,Business & Entrepreneurship,"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive."
Gujarat Textile Policy: Power Tariff Subsidy,https://www.myscheme.gov.in/schemes/gtppts,Gujarat,Business & Entrepreneurship,"The ""Gujarat Textile Policy"" introduced by the Industries and Mines Department aims to create a vibrant Textile Sector ecosystem and generate enormous employment opportunities in the State."
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Power Connection Charges",https://www.myscheme.gov.in/schemes/samsmeapc,Gujarat,Business & Entrepreneurship,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness."
Promoting to Farmer for Post Harvesting & Management (Value Addition),https://www.myscheme.gov.in/schemes/pfphmva,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support farmers in setting up crop value addition units using post-harvesting technology and management concepts."
"Incentive Assistance to Scheduled Tribe Farmers to Increase the Area, Production and Productivity of Sugarcane Farming",https://www.myscheme.gov.in/schemes/iastasf,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to ST farmers to increase sugarcane production and productivity through quality seeds, modern farming practices, and agricultural mechanization."
Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees,https://www.myscheme.gov.in/schemes/spacroam,Gujarat,"Agriculture,Rural & Environment, Business & Entrepreneurship","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support market committees in constructing retail outlets and agricultural malls to facilitate direct selling of farmers' produce, ensuring better pricing and increasing farmers' income."
Gujarat Textile Policy: Assistance for Quality Certification,https://www.myscheme.gov.in/schemes/gtpaqc,Gujarat,Business & Entrepreneurship,"The ""Gujarat Textile Policy"" introduced by the Industries and Mines Department aims to create a vibrant Textile Sector ecosystem and generate enormous employment opportunities in the State."
"Subsidy Scheme on Establishment of 25 R.I.R. Bird’s Unit, 100 Broiler Bird’s Unit and Stipend for Poultry Farming Training for Scheduled Caste People",https://www.myscheme.gov.in/schemes/ssbutsc,Gujarat,"Agriculture,Rural & Environment",The scheme aims to support Scheduled Caste individuals by providing financial assistance for poultry farming.
COP-5 Financial Assistance to Agricultural Credit Co-operative Banks (PACS/LAMPS) for Reconstruction and Reestablishment (General/Tribal Area),https://www.myscheme.gov.in/schemes/cfaacobrr,Gujarat,"Agriculture,Rural & Environment",The scheme provides financial assistance to Primary Agricultural Credit Societies (PACS) and Large-sized Agricultural Multi-Purpose Societies (LAMPS) in General and Tribal areas to strengthen their economic viability and ensure their continued contribution to the cooperative credit structure.
Managerial Assistance Scheme for Appointment of Veterinarian,https://www.myscheme.gov.in/schemes/masav,Gujarat,"Agriculture,Rural & Environment","The ""Managerial Assistance Scheme for Appointment of Veterinarian"" provides financial support to registered Panjrapols for appointing a qualified veterinarian to ensure proper medical care, vaccination, and scientific record-keeping for animals housed in Gaushalas/ Panjrapols."
Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area,https://www.myscheme.gov.in/schemes/attisca,Gujarat,Sports & Culture,"The scheme ""Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area"" aims to promote cultural infrastructure through financial assistance to trusts and institutions for building or renovating cultural centres within municipal areas."
Kishan Kalpvriksh Yojana (Scheme for Assistance to APMCs to Provide Basic and Modern Facilities) (Tribal),https://www.myscheme.gov.in/schemes/kkyaabmt,Gujarat,"Agriculture,Rural & Environment",The scheme “Kishan Kalpvriksh Yojana (Scheme for Assistance to APMCs to Provide Basic and Modern Facilities) (Tribal)” aims to strengthen agricultural markets by providing financial assistance for the modernization and development of basic facilities to Cooperative Market Committees in tribal areas.
Kishan Kalpvriksh Yojana (Scheme for Assistance to APMCs to Provide Basic and Modern Facilities) (General),https://www.myscheme.gov.in/schemes/kkyaabmg,Gujarat,"Agriculture,Rural & Environment","The scheme ""Kishan Kalpvriksh Yojana (Scheme for Assistance to APMCs to Provide Basic and Modern Facilities) (General)"" aims to improve agricultural market infrastructure by providing financial assistance to Agricultural Produce Market Committees (APMCs) for developing modern facilities."
Facilitation of Large Size Godowns in APMC and Taluka-District Purchase Sale Union (General),https://www.myscheme.gov.in/schemes/flsgdpsug,Gujarat,"Agriculture,Rural & Environment","The scheme aims to strengthen the financial status of district and taluka-level cooperative buying and selling unions by supporting infrastructure projects like storage godowns, marketing facilities, and branding units."
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Stocking of fingerlings in reservoir - Gujarat,https://www.myscheme.gov.in/schemes/pmmsysfrguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to bring about a Blue Revolution through the sustainable and responsible development of the fisheries sector in India, with a focus on increasing fish production, creating employment, and ensuring the socio-economic welfare of fishers."
Assistance to Scheduled Castes for Fisheries: Fish Collection Cum Patrolling Boat Gujarat,https://www.myscheme.gov.in/schemes/ascfpbguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Scheduled Caste people involved in inland fisheries activities.
Gramodhyog Vikas Kendra,https://www.myscheme.gov.in/schemes/gvk,Gujarat,"Business & Entrepreneurship, Transport & Infrastructure","The scheme aims to provide infrastructure facilities at village level to artisans through Common Facility Centers. Registered Non-Governmental Organizations, cooperative societies and trusts receive financial assistance up to ₹13,00,000/- for building infrastructure, training, equipment, etc."
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance of Capital Investment Subsidy (Manufacturing Sector)",https://www.myscheme.gov.in/schemes/samsmecis,Gujarat,Business & Entrepreneurship,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness."
Bal Sakha Yojana,https://www.myscheme.gov.in/schemes/bsy,Gujarat,"Health & Wellness, Utility & Sanitation","Under this scheme, all babies born to BPL mothers in the State (approximately 3,00,000 births per annum) will be covered for neonatal care by partnering pediatricians, including care in their Neonatal Intensive Care Unit (level 2 ) at no cost to the beneficiary."
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Saving in Consumption of Energy and Water,https://www.myscheme.gov.in/schemes/agmsmeae,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Rehabilitation of Sick Enterprise,https://www.myscheme.gov.in/schemes/agmsmerse,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Raising Capital through SME Exchange,https://www.myscheme.gov.in/schemes/agmsmesmee,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Reimbursement of CGTMSE Fees,https://www.myscheme.gov.in/schemes/agmsmercgt,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for assistance to MSMEs"" aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports."
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Net SGST reimbursement,https://www.myscheme.gov.in/schemes/agsmnsgst,Gujarat,Business & Entrepreneurship,"The ""Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries"" aims to strengthen the overall industrial ecosystem in the State and also enable a larger set of manufacturing companies to emulate the adoption of clean energy and make them future-ready to compete in global markets."
